1.1102,1.3165,1
0.12895,-0.10771,-1
1.4386,2.39,1
-1.3611,-0.078012,-1
-1.6797,-0.3358,-1
0.91899,0.56497,1
-0.76151,1.1438,-1
0.41946,2.5586,1
-1.3131,-0.962,-1
-0.11919,-0.9529,-1
-1.0916,0.44059,-1
-0.44953,4.0464,1
0.73,2.2909,1
-0.92568,0.29282,-1
0.21453,1.8895,1
0.50755,2.3173,1
1.277,0.40788,1
0.56261,0.99938,1
2.0414,-1.0031,1
-1.4043,1.6957,-1
-0.058359,1.4952,1
0.85619,1.7134,1
0.18361,2.5918,1
-0.53268,-1.7945,-1
-0.80376,0.25708,-1
2.0228,0.151,1
0.75185,1.4246,1
-0.84825,-0.49275,-1
0.8544,2.7792,1
-1.5955,-1.1714,-1
1.3659,0.5513,1
-1.6932,-3.0683,-1
0.092406,0.27612,1
0.24929,1.8621,1
0.45087,0.46384,1
-0.21726,-0.90738,-1
1.5848,0.35203,1
-2.0188,2.2359,-1
-0.83123,0.072169,-1
-1.139,-0.47026,-1
0.71664,0.81155,1
-0.89515,-1.0568,-1
-1.4751,1.6099,-1
0.46003,-2.15,-1
-0.80539,-1.4259,-1
1.0349,1.0627,1
-2.0272,1.5959,-1
0.71566,1.0521,1
-0.91695,-1.9542,-1
-0.24785,-0.54527,-1
